"Opportunity 
Received On"	"Received
Time"	Company Name	CRM POC	Student Side Status	Hubspot Link	Student Response Sheet	Company Sheet	#Positions	"# Profile 
Requested"	# No .of Profiles shared	#Mapping Pool	# Eligible as per Pref	# Filled Form	# Interested	Date of Sharing Profiles	# shortlists	Company Status	Date  & Time of Process	Company Process Details	Screening Round/Telephonic Round	Assignement Round	TR 1	Next Process	Role	"Skills required 
(Must)"	"Skills required 
(Good to Have)"	Stipend	Location	Duration	Day & timings	Success Team_Company Feedback	Scheduled Date	Interview Process (e.g. TR, MR, Assessment)	Action Items	Hiring Intelligence 	RSA													
21-May-2026		STYLZ-AI	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/60423955891/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=1823483890#gid=1823483890	https://docs.google.com/spreadsheets/d/19Dhyw7U-MclsDGiEvSRjvO9YofloyV7U9WUcDV2hFwI/edit?gid=57356635#gid=57356635	1	2	1							Drop							AI Intern	Gen AI , Python 		10k	Hyderabad	6 Months	5 days a week (9AM - 6PM)																			
21-May-2026		STYLZ-React	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/60324372286/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=486875461#gid=486875461	https://docs.google.com/spreadsheets/d/19Dhyw7U-MclsDGiEvSRjvO9YofloyV7U9WUcDV2hFwI/edit?gid=95884983#gid=95884983	NA	4	1							Drop							Frontend Intern	React.js	Node.js , Python , SQL 	10k	Hyderabad	6 Months	5 days a week (9AM - 6PM)																			
22-May-2026		The Grey Hawks	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/60472443735/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=882341516#gid=882341516	https://docs.google.com/spreadsheets/d/1zc7S7nIBseXh3sWz1Y9GCeUSd0cwSdjGTeiBi_ymsIE/edit?gid=95884983#gid=95884983	2	4	4							Drop							Full Stack Intern	React.js , Node.js	PHP	10k	Banglore	6 Months	5 days a week (9AM - 6PM)																			
22-May-2026		Velocity Clinical Research, Inc	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/60379543434/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=111940259#gid=111940259	https://docs.google.com/spreadsheets/d/1HvtsdORJpPyVFhG6NP9nawIemBHSfocY9pqn0DX9Uos/edit?gid=95884983#gid=95884983	2	4	4							Drop							AI Engineering	Gen AI	Lang chain , LLM	10k	Hyderabad	6 Months	5 days a week (9AM - 5PM)																			
22-May-2026		Metastring Foundation	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/60524997377	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=1396002734#gid=1396002734	https://docs.google.com/spreadsheets/d/1yL3n3OMTUmwtoE4QMDf8bs8ehtwN_sZ1CavSRO7xQlo/edit?gid=95884983#gid=95884983	2	4	5							Drop							Data Analytics Intern	Python	SQL	10k	Hyderabad	6 Months	5 days a week (9AM - 6PM)																			
22-May-2026		Euphotic Labs Private Limited	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/60469677355/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=1632570282#gid=1632570282	https://docs.google.com/spreadsheets/d/1ZwpFBDNO9cS9af_GMfzM96xT4_GGryqRwJqdndzulto/edit?gid=95884983#gid=95884983	2	5	5							Drop							Full Stack Development 	React.js  , Python 	Node.js, SQL	20k	Banglore	5 Months	5 days a week (9AM - 6PM)																			
22-May-2026		MECNTEC	Keerthana	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/59184043117	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=1368623135#gid=1368623135	https://docs.google.com/spreadsheets/d/1LPqKHXp9KsepM2lowBcRiGW_V7A-YmzITu0KXEIRhSo/edit?gid=671168563#gid=671168563	1	3	3							Hired							SDE Intern	React.js , MongoDB , Node.js , Next.js , Python	Python	15k	Bengaluru	6 Months	6 days a week ( Flexible )																			
23-May-2026		Openleaf	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/60455807847/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=356877485#gid=356877485	https://docs.google.com/spreadsheets/d/1GtsjQ-bHDO743vz2c7HOIIrkV5MW5agM9XQgh_UaA10/edit?gid=95884983#gid=95884983	2	4	2							Drop							SDE Intern	Node.js	Golang	15k	Mumbai	5 Months	5 days a week (9AM - 6PM)																			
25-May-2026		Marma Fintech	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/60458476369/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?gid=1708259778#gid=1708259778	https://docs.google.com/spreadsheets/d/17DdHZpTzyea4rFGwOqLvXQ5KS2Hyqx8TTx2sdfgMiAk/edit?gid=95884983#gid=95884983	1	5	5							Not Hired							Backend Intern 	Node.js	Python	12k to 15k	Coimbatore 	4 Months	5 days a week (9AM - 5PM)																			
25-May-2026		Team infits	Keerthana	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/60619532333/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?gid=1203899761#gid=1203899761	https://docs.google.com/spreadsheets/d/1WTZUIgfWMTH62Am0BlidVQ9cUavDk7JGQ1OviIKNqWI/edit?gid=95884983#gid=95884983	2	5	3							Not Hired							MERN	React.js , MongoDB , Node.js , Express.js	Python	10k	Hyderabad	3-6 Months	6 days a week (9AM to 6 PM)																			
26-May-2026		CareEco	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/60632945941	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?gid=1560450042#gid=1560450042	https://docs.google.com/spreadsheets/d/124DHnQg6Fntmv7gQETOBsL7SNS17xOvjlutc_9kfYXA/edit?usp=sharing	2	8	7							Not Hired							Frontend Intern	React.js , Gen AI	Python	5k	Remote 	3 Months	5 days a week (9AM - 6PM)																			
26-May-2026		Maxtron Innovations	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/60632946250/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?gid=1244524049#gid=1244524049	https://docs.google.com/spreadsheets/d/1089_AON6jc-V1tDw7UFKvo2ir-8fwptTYXZCQZUiEB4/edit?gid=0#gid=0	1	4	4							Hiring-in-progress							Mern Intern 	React.js , Node.js	Python , SQl 	5k	Remote 	3 Months	5 days a week (9AM - 6PM)																			
26-May-2026		Maxtron Innovations	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/60632964945/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?gid=232115791#gid=232115791	https://docs.google.com/spreadsheets/d/1089_AON6jc-V1tDw7UFKvo2ir-8fwptTYXZCQZUiEB4/edit?gid=1029970927#gid=1029970927	1	2	4							Hiring-in-progress							AI Intern	Gen AI 	Python	5k	Remote 	3 Months	5 days a week (9AM - 6PM)																			
26-May-2026		KoiReader Technologies	Keerthana	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/60419923824	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?gid=1268502370#gid=1268502370	https://docs.google.com/spreadsheets/d/1sZ2cdRSa3QXk9hrEVcFU-evw2CYZXJo8aTRaLanJPIo/edit?usp=sharing	2	4	3							Hiring-in-progress							Python Intern	AI/ML , Python , Open CV	Java script	15k to 20k	Remote 	3 Months	5 days a week (10AM - 7PM)																			
27-May-2026		New Age	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/60379461775/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?gid=135239330#gid=135239330	https://docs.google.com/spreadsheets/d/1ga6pex4A5s7nU4OARbRFZvqwULPWmwlA6kPHxrTZwM8/edit?gid=0#gid=0	2	8	7							Drop							Full Stack Intern	Node.js	Next.js	5k	Remote 	2 Months	5 days a week (9AM - 6PM)																			
27-May-2026		Changepay	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/60653722550/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI#gid=380092147	https://docs.google.com/spreadsheets/d/1afel3EtIGyq-Rt0kz_LMEkAvpa8TyBIWGnSUhCOEdus/edit?gid=0#gid=0	2	4	5							Drop							AI Native Intern	Gen AI	Python	5K	Remote 	3 Months	5 days a week (9AM - 6PM)																			
28-May-2026		Zaapko	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/60609698102	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?gid=788369210#gid=788369210	https://docs.google.com/spreadsheets/d/1MnMmT0BhE0vo4uQ46HLSu2xII17O5GJ6Nm3prwJCU1I/edit?gid=95884983#gid=95884983	2	2	2							Drop							Full Stack Intern	Gen AI 	Python	5K	Remote	3 Months	5 days a week (9AM - 6PM)																			
28-May-2026		PadosiAgent ServTech Pvt Ltd	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/60632986277/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?gid=1684037357#gid=1684037357	https://docs.google.com/spreadsheets/d/1oMQUrHVXnMLqIM65lFZDvkZcG6RGi-BaODLTZfhatoU/edit?gid=0#gid=0	2	8	7							Hiring-in-progress							 AI/ML Developer Intern	Python , Gen AI 	SQL	5K	Remote	3 Months	5 days a week (9AM - 6PM)																			
28-May-2026		VapusData	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/60633845587/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?gid=679563870#gid=679563870	https://docs.google.com/spreadsheets/d/1mWJB2MdPfG9-c1N07Acu_-9rmROS-feREhZMDMukNe0/edit?gid=0#gid=0	2	4	5							Drop							Backend Intern 	Node.js , Golang		15k	Banglore	3 Months	5 days a week (9AM - 6PM)																			
29-May-2026		Tellis Technologies Private Limited	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/60695033900/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?gid=1223678799#gid=1223678799	https://docs.google.com/spreadsheets/d/1FU6dTDzvQQ50viBQwwvodxjnoo7yDOQYrrS5q2AsVEk/edit?gid=0#gid=0	3	5	5							Hiring-in-progress							 AI Native Interns	Gen AI 	Python	5K	Remote 	3 Months	5 days a week (10 hrs )																			
30-May-2026		Happy People AI	Keerthana	No Student Eligble	https://app.hubspot.com/contacts/44403767/record/0-3/60717271591/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI#gid=1646292045		1	5	0							Not Hired							MERN Full Stack Intern	React.js, Node.js , MongoDB	Python	10k	Hyderabad	6 Months 	6 days a week (10 AM to 7 PM)																			
4-Jun-2026		 OVI Learning LLP	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/60841881239/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI#gid=1995509304	https://docs.google.com/spreadsheets/d/15-ej7KaXlVlKkIT3wosMS4TVFtpiem2nQweuz9SZyFw/edit?gid=0#gid=0	2	5	4							Drop							AI Intern	Gen AI 	Python	10k	Hyderabad	6 Months 	5 days a week (9AM - 6PM)																			
4-Jun-2026		mybizz ERP Global Enterprise Solutions - Backend Intern	Keerthana	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/60850613767/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI#gid=86183052	https://docs.google.com/spreadsheets/d/1ZuJSDKCYRa7mer2JhJs34bdPvDdUnLP78H5v0glTdv8/edit?gid=95884983#gid=95884983	1	4	5							Yet To Schedule Interviews							Backend Intern	Django , Python	HTML , CSS	12k	Hyderabad	6 Months 	6 days a week (9:30 AM - 6:30 PM)																			
4-Jun-2026		mybizz ERP Global Enterprise Solutions - Frontend Intern	Keerthana	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/60848501836	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI#gid=1844960724	https://docs.google.com/spreadsheets/d/1ZuJSDKCYRa7mer2JhJs34bdPvDdUnLP78H5v0glTdv8/edit?gid=857486092#gid=857486092	1	4	4							Yet To Schedule Interviews							Frontend Intern	React	Python	12k	Hyderabad	6 Months 	6 days a week (9:30 AM - 6:30 PM)																			
5-Jun-2026		TryLity	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/60851536271/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI#gid=2011307616	https://docs.google.com/spreadsheets/d/1JxjxXdpwtQyaW43l7orpHx8CcG9HwK5z26fbwU7dRFg/edit?gid=95884983#gid=95884983	2	4	4							Hired							Mern Intern	React.js , Node.js	Python , SQL	10k	Remote	3 Months	 5 days a week  (9 AM - 6 PM)																			
5-Jun-2026		TrueGether	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/60840130591/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI#gid=1400361042	https://docs.google.com/spreadsheets/d/1JxjxXdpwtQyaW43l7orpHx8CcG9HwK5z26fbwU7dRFg/edit?gid=95884983#gid=95884983	2	4	6							Yet To Schedule Interviews							Fullstack Intern	Agentic AI , React.js 	Python	15k	Remote	3 Months	 5 days a week  (9 AM - 6 PM)																			
8-Jun-2026		Eva Software Solutions	Keerthana	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/60943485361/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI#gid=1197725864	https://docs.google.com/spreadsheets/d/1uZ3pNESrMftJJu8GtCbvYuIZeG9czZUWWhG36C4YX2Y/edit?gid=0#gid=0	1	Any	1							Not Hired							Zoho Intern	Zoho Creator 	Zoho Creator 	10k	Remote	6 Months	6 days a week (9 AM - 6  PM)																			
8-Jun-2026		CustomElements Private Limited	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/60880414388/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI#gid=2093897122	https://docs.google.com/spreadsheets/d/1cA-iUmqApXlKhP2Tq5sHIUSs5nIXK3fC8cRLJpGTCyw/edit?gid=0#gid=0	2	4	4							Yet To Schedule Interviews							AI Intern	Gen AI 	Python	15k	Bengaluru	6 Months	5 days a week (9 AM - 6 PM)																			
9-Jun-2026		WeSee	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/60840137794/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI#gid=865686465	https://docs.google.com/spreadsheets/d/1JeZFyk4DY-L8s2rBCUtW4neStZR-MeO2MN349tyTKe8/edit?gid=95884983#gid=95884983	2	4	4							Yet To Schedule Interviews							Full Stack Intern	React.js , Node.js	Python	20k to 30k	Mumbai	3 - 6 Months 	5 days a week (9 AM - 6 PM)																			
9-Jun-2026		WeSee	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/60967557896/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI#gid=1176630002	https://docs.google.com/spreadsheets/d/1JeZFyk4DY-L8s2rBCUtW4neStZR-MeO2MN349tyTKe8/edit?gid=157401284#gid=157401284	2	4	4							Yet To Schedule Interviews							AI Intern	Gen AI	Python	20k to 30k	Bengaluru	3 Months	5 days a week (9 AM - 6 PM)																			
9-Jun-2026		MECNTEC	Keerthana	No Student Eligble		https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI#gid=303619763		2	Any	0							Yet To Schedule Interviews							PHP Intern 	PHP 		15k	Bengaluru	6 Months	6 days a week ( Flexible )																			
10-Jun-2026		Proyog	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/60970560103/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI#gid=1759487280	https://docs.google.com/spreadsheets/d/1VxjsBzuJ5DqxGbBQTPorzVzCPgXa0At17MZB7DYr9uA/edit?gid=95884983#gid=95884983	2	4	4							Yet To Schedule Interviews							AI Intern	Gen AI 	Python	15k	Bengaluru	6 Months	5 days a week, 9 AM - 6 PM																			
10-Jun-2026		Ai First Desk	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/61024693088/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI#gid=374698570	https://docs.google.com/spreadsheets/d/1Uhodn7DwhPJ7Vz3RydWNOk8AZ-JCtdpry2jpdnSwTpc/edit?gid=0#gid=0	2	4	5							Yet To Schedule Interviews							AI Fullstack Intern	Gen AI , react.js , Node.js	Python , SQL 	5k	Remote	6 Months	5 days a week, 9 AM - 6 PM																			
10-Jun-2026		Totem Interactive	Akshitha	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/60967519888/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI#gid=1977984716	https://docs.google.com/spreadsheets/d/1H4T5-5Bg7IOkFWDmks7AMELUJm-imGhI6vWsb3bWni8/edit?gid=95884983#gid=95884983	2	4	7							Yet To Schedule Interviews							AI Intern			10k	Remote	6 Months	6 days a week, 10 AM - 7 PM																			
11-Jun-2026		 F-Grade	Akshitha	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/61024985126/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI#gid=2125927967	https://docs.google.com/spreadsheets/d/1dWaEINPsCHAy7Dhg5U3bgwQm6sw54Dk0xcb2ZhC-tnk/edit?gid=0#gid=0	2	3	2							Yet To Schedule Interviews							Zoho Intern	Zoho Creator 	Zoho Creator 	12k	Hyderabad	6 Months	6 days a week, 10 AM - 7 PM																			
11-Jun-2026		 Digital Friend	Akshitha	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/60680167603/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI#gid=138906668	https://docs.google.com/spreadsheets/d/1qbv43ATyz0p1gJhFioDf8n1f8CDqrSv8qL94BZX1fjY/edit?gid=0#gid=0	2	3	3							Yet To Schedule Interviews							AI Intern	Gen AI 		5k	Remote 	6 Months	6 days a week, 10 AM - 7 PM																			
11-Jun-2026		Weezy Streetwear	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/60970524768/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI#gid=338278568	https://docs.google.com/spreadsheets/d/1NtWYbkXgwXA5744ODSg7EF5ayxGGigLyKaxckI0-qgE/edit?gid=0#gid=0	2	4	5							Yet To Schedule Interviews							AI Intern	Gen AI 	Python	15k	Bengaluru	6 Months	5 days a week, 9 AM - 6 PM																			
11-Jun-2026		Lane	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/61027187483/		https://docs.google.com/spreadsheets/d/1YlGbjy5KxmfEm0x4HZNoOkWzgySd5GBpGLG5mWKcHmc/edit?gid=95884983#gid=95884983	2	4	5							Yet To Schedule Interviews							AI Intern	Gen AI 	Python	15k	Bengaluru	3- 6 Months	5 days a week, 9 AM - 6 PM																			
12-Jun-2026		Exafair Technologies (FS)	Keerthana	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/61038812706/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI#gid=2012332731	https://docs.google.com/spreadsheets/d/1wEdKQEOkrx7CvuxFNJekajE57r1HlG67AuR_1ksGaUo/edit?gid=0#gid=0	1	4	6							Yet To Schedule Interviews							Full Stack Intern 	Node.js, React.js, MongoDB, Express.js	Python	15k 	Remote 	6 Months	5 days a week, 10 AM - 7 PM																			
12-Jun-2026		Exafair Technologies (AI)	Keerthana	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/61038812752/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI#gid=934819343	https://docs.google.com/spreadsheets/d/1wEdKQEOkrx7CvuxFNJekajE57r1HlG67AuR_1ksGaUo/edit?gid=737774972#gid=737774972	1	4	5							Yet To Schedule Interviews							AI Intern	Gen AI 	Python	5k	Remote 	6 Months	6 days a week, 10 AM - 7 PM																			
12-Jun-2026		Time Pilot Software	Keerthana	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/60975078957/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI#gid=1175343810	https://docs.google.com/spreadsheets/d/1H_ZTe0xW-TvSNH-w52Bv6lkf9l-ZJC02SefI5OBg07Q/edit?gid=0#gid=0	1	5	7							Yet To Schedule Interviews							SDE Intern	Node.js, React.js, MongoDB, Express.js	Flutter	15k to 20k	Remote 	6 Months	6 days a week, 9AM - 6 PM																			
12-Jun-2026		Trovex	Keerthana	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/61040550510/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI#gid=276658362	https://docs.google.com/spreadsheets/d/1b0r31E8XUk7NvXg8cEVtSAbdMolyUjmXGeJrXcAdx94/edit?gid=0#gid=0	2	5	5							Yet To Schedule Interviews							AI Intern	Gen AI 	Python	5k	Remote 	6 Months	6 days a week, 10 AM - 7 PM																			
13-Jun-2026		 BVR Technosoft Solutions	Keerthana	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/61025010438/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI#gid=807759152	https://docs.google.com/spreadsheets/d/1fZZWANZXwKQ1QLXIZU0OateYk8xb5nudsEcq7sF4ixI/edit?gid=95884983#gid=95884983	2	5	5							Yet To Schedule Interviews							Full Stack Intern 	Node.js, React.js, MongoDB, Express.js	Python	5k	Remote 	6 Months	6 days a week, 10 AM - 7 PM																			
15-Jun-2026		Supercode Design	Akshitha	No Student Eligble	https://app.hubspot.com/contacts/44403767/record/0-3/61107983431/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI#gid=2063974664		2	2								Yet To Schedule Interviews							UI/UX Intern	UI / UX		10k	Bengaluru	3 Months	6 days a week, 10 AM - 7 PM																			
15-Jun-2026		Unbusy Studio	Keerthana	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/61107988152/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI#gid=53967221	https://docs.google.com/spreadsheets/d/1FheRnu-vn_578yY767KUbhEN6LSMZeqTyFj2VU1Pq_Q/edit?pli=1&gid=0#gid=0	1	2	5							Yet To Schedule Interviews							Python Intern	Python		5k	Remote	6 Months	5 days a week, 9 AM - 6 PM																			
17-Jun-2026		Floneo Technologies	Keerthana	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/61108453916/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI#gid=769384454	https://docs.google.com/spreadsheets/d/1hURxVNjBP22KprGJg7g1nKAfLFwbYf4WV-cdQulzDxY/edit?gid=0#gid=0	2	5	5							Yet To Schedule Interviews							AI Fullstack Intern	Gen AI 	Python	5k to 10k	Remote	3 - 6 Months 	 5 days a week, 10 AM - 7 PM																			
17-Jun-2026		STRONG BY YOGA	Akshitha	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/61107980146/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI#gid=523146738	https://docs.google.com/spreadsheets/d/1A9LylQN87neuRNHaQakUqulMqwUQa3dV4Li4ZOEXWEc/edit?gid=0#gid=0	2	2	4							Yet To Schedule Interviews							Mern	Node.js, React.js, MongoDB, Express.js		5k	Remote	6 Months	6 days a week, 10 AM - 7 PM																			
17-Jun-2026		Fortax	Akshitha	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/61173269575	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI#gid=1717719292	https://docs.google.com/spreadsheets/d/1LOX7WLeJTC1XTZsAu3fhedxDUPHKarwhJC2eZA6DkvQ/edit?gid=0#gid=0	5	10	10							Yet To Schedule Interviews							Full Stack	Node.js, React.js, MongoDB, Express.js		5k to 10k	Remote	6 Months	6 days a week, 10 AM - 7 PM																			
18-Jun-2026		Go Extra Mile	Akshitha	No Student Eligble	https://app.hubspot.com/contacts/44403767/record/0-3/61209492397/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI#gid=556863221		1	5								Yet To Schedule Interviews							AI Intern	GenAI, Flutter		10k	Hyderabad	6 Months	6 days a week, 10 AM - 7 PM																			
