"Opportunity 
Received On"	"Received
Time"	Company Name	CRM POC	Student Side Status	Hubspot Link	Student Response Sheet	Company Sheet	#Positions	"# Profile 
Requested"	# No .of Profiles shared	#Mapping Pool	# Eligible as per Pref	# Filled Form	# Interested	Date of Sharing Profiles	# shortlists	Company Status	Date  & Time of Process	Company Process Details	Screening Round/Telephonic Round	Assignement Round	TR 1	Next Process	Role	"Skills required 
(Must)"	"Skills required 
(Good to Have)"	Stipend	Location	Duration	Day & timings	Success Team_Company Feedback	Scheduled Date	Interview Process (e.g. TR, MR, Assessment)	Action Items	Hiring Intelligence 	RSA													
31-Mar-2026	11:48	Task Labs	Keerthana	Shortlisting Based on Interest & JD	https://app.hubspot.com/contacts/44403767/record/0-3/58479685144	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=1132352179#gid=1132352179	https://docs.google.com/spreadsheets/d/1kOBwF3iVhe62_rAPoZCfH-XpxOqo636Q9NOL9B5f0gc/edit?gid=0#gid=0	2	20+	20							Not Hired							Full Stack Developer Intern	HTML , CSS , Java Script , Node.js , React.js 	Python , MonboDB , Express.js 	5k to 10k 	Remote 	4-6 months 	6 Days/Week , 4PM - 9PM																			
31-Mar-2026	5:19	Vigomerge Inc.	Keerthana	Sent interest Form		https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=1583592013#gid=1583592013	https://docs.google.com/spreadsheets/d/1uhUIVdskIiM6VtD2WunHJFJLCYjt4ZbtCW8DyszAnSc/edit?gid=0#gid=0	5	12	10							Not Hired							Full Stack Developer Intern	HTML , CSS , Node.js , React.js , Python , MongoDB , Express.js , Bootstrap  	Java script	5k to 10k 	Remote 	6 momths	5 Days/ week																			
3-Apr-2026	2:34	Cunard Consulting	Keerthana	Shared Profiles with CRM		https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?gid=2108294595#gid=2108294595	https://docs.google.com/spreadsheets/d/1gYR-8s0wwD72VGsFNSO0j2uCZzobEBrOc5qq4C6ZNq0/edit?gid=0#gid=0	3	6	6	138						Not Hired							Full Stack Developer Intern	Node.js , React.js , Express.js , MongoDB, Python , Java script , Agentic AI 	Java script	12k to 18k	Remote 	3-6 months 	6days / week part time ( Evening shift )																			
7-Apr-2026	10:29	GharPayy	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/58184349560	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=2038685758#gid=2038685758	https://docs.google.com/spreadsheets/d/1JRV7wkshTbJB1PA7zI0Y77NQR2RxVnlnXc_bo-Bw8-I/edit?gid=95884983#gid=95884983	2	8	9	138						Not Hired							Full Stack Developer Intern	Next.js , Node.js	Python	10k	Remote 	3 months	5 days a week ( 9AM - 6 PM )																			
7-Apr-2026	10:46	EnsoView	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/58798379836/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=913017079#gid=913017079	https://docs.google.com/spreadsheets/d/1Ys6kHHvA73xueNelryMTuEOpOLcdkEOsoQlDBKmHAco/edit?usp=sharing	2	4	6	138						Not Hired							Full Stack Developer Intern	React.js , Node.js	Python , SQL 	10k	Hyderabad	6 months 	5 days a week ( 9AM - 5 PM )																			
7-Apr-2026	11:2	Explorerscompany	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/58798379932/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=331083101#gid=331083101	https://docs.google.com/spreadsheets/d/1evVfrGcfS3aknZmEHtM3S_TJcGgDAr9fsY4L1t3yVOU/edit?gid=0#gid=0	3	12	1	138						Not Hired							Full Stack Developer Intern	React.js , Node.js	Python , SQL 	5k	Remote 	3 months	5 days a week ( 9AM - 6 PM )																			
7-Apr-2026	4:17	Bellcorp Studio	Akshita	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/58798180352/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=188665978#gid=188665978	https://docs.google.com/spreadsheets/d/18aVoiR-3NGxHCXWqyEnLnj63CyMZycB9N24IUuS3RXY/edit?gid=786213224#gid=786213224	17	34		138						Hired							Backend  intern	Node.js , SQL		10K	Remote 	6 months	6 days a week ( 10AM - 7PM)																			
7-Apr-2026	4:17	Bellcorp Studio	Akshita	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/58798385284/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=188665978#gid=188665978	https://docs.google.com/spreadsheets/d/18aVoiR-3NGxHCXWqyEnLnj63CyMZycB9N24IUuS3RXY/edit?gid=786213224#gid=786213224	12	24		138						Hired							Frontend Intern	React js  	Material UI 	10K	Remote 	6 months	6 days a week ( 10AM - 7PM)																			
7-Apr-2026	5:13	Orkait	Akshita	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/58866065972/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=819033421#gid=819033421	https://docs.google.com/spreadsheets/d/17Z-FRkSm6Zvce4fSaaxc8wd6gdAcup9k7P8timTmUr0/edit?gid=0#gid=0	1	3	5	138						Not Hired							Full Stack Developer Intern	React.js , Node.js	Python , SQL 	10K	Remote 	3 Months	5 days a week ( 9AM - 6 PM )																			
8-Apr-2026	9:31	NatureDots Private Limited	Keerthana	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/58429906861/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=1985739#gid=1985739	https://docs.google.com/spreadsheets/d/14KKqweYi_mPvPpUuLUt1cmhBiyHTfmLy4vL1SQnMxsc/edit?gid=95884983#gid=95884983	2	5	3	138						Not Hired							Backend Intern	Python , Django , FastAPI , PostgreSQL	React.js ,  Node.js 	15k	Remote 	6 months 	6 days a week ( 10AM - 7PM)																			
8-Apr-2026	5:25	Raaz App	Akshita	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/58798475052	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=412424573#gid=412424573	https://docs.google.com/spreadsheets/d/16aHkgQMcUm7UhCWzE1FmVDnO4P7LQ5mfeMr4s-zf09w/edit?usp=sharing	2	4	5	138						Not Hired							Full Stack Developer Intern	Node.js , React.js , Express.js , MongoDB	Gen AI	25k to 35k	Bengaluru	6 months 	5 days a week ( 10AM - 7 PM )																			
8-Apr-2026	5:50	Educase	Akshita	Sent interest Form	https://app.hubspot.com/contacts/44403767/record/0-3/58906158199/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=2022427345#gid=2022427345		5	8		138						Not Hired							Full Stack Developer Intern	React.js , Node.js		10k to 15k	Hyderabad	6 months 	6 days a week ( 10AM - 7PM)																			
8-Apr-2026	5:56	Wellytics	Akshita	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/58717359202	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=317156305#gid=317156305	https://docs.google.com/spreadsheets/d/1MCzh4GwgL2HssCpsNbMrWNxqutOUzIttWuMyNr6WzCE/edit?gid=0#gid=0	4	8		138						Not Hired							AI Engineer Intern	Gen AI 	Gen AI , AI	10k	Hyderabad	6 months 	6 days a week ( 9AM - 6 PM )																			
8-Apr-2026	5:56	Qubera	Akshita	Shared Profiles with CRM		https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=1593193932#gid=1593193932	https://docs.google.com/spreadsheets/d/1mO1VUFo9qzlL0DJrwXhIqILMyNuts3bdBUeDT0S8QXs/edit?gid=0#gid=0	2	7		138						Not Hired							Full Stack Developer Intern	Node.js , React.js , Express.js , MongoDB		5k	Remote 	3-6 months 	5 days a week ( 9AM - 5 PM )																			
9-Apr-2026	10:38	2xCabs	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/58987039137/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=6791749#gid=6791749	https://docs.google.com/spreadsheets/d/16c1oJeBPnkjNytvNOzjVORD_5M376y4iaUVtzZADlyw/edit?gid=1607314074#gid=1607314074&range=B1	1	4	9	138						Hired							MERN Intern	React.js , Node.js	Python , Flutter 	10k to 15k	Remote 	3-6 months 	6 days a week ( 10AM - 7PM)																			
9-Apr-2026	11:40	Finflock Systems Private Limited	Keerthana	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/58869439091/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=6791749#gid=6791749	https://docs.google.com/spreadsheets/d/158g78CIhRo5sFkCydfPfLAnMePZdzRT5tzlfss9RKYc/edit?gid=95884983#gid=95884983	3	6	9	138						Hired							Full Stack Development	Java script , React.js , Pyton , Postgre SQL 	FastAPI	12k to 15k 	Remote 	6 months 	5 days a week 																			
9-Apr-2026	12:06	TheWordOfMouth	Akshita	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/58986981017/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=1596280122#gid=1596280122	https://docs.google.com/spreadsheets/d/1-BIjmePjKqGVPtkkI0jn5Fi8DjEz_qi67KQuVms7hlE/edit?gid=0#gid=0		4	1	138						Not Hired							Frontend Intern	React.js		5k to 10k	Remote 	6 months 	6 days a week ( 10AM - 7PM)																			
9-Apr-2026	12:36	webaura	Keerthana	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/58986981268/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=1074171592#gid=1074171592	https://docs.google.com/spreadsheets/d/1Hkw7u28JaZkz_kv9iclBTgGK0xmWhhk_xUzmojXdORY/edit?gid=0#gid=0	1	Any	6	138						Not Hired							AI/ML Intern	Python , Gen AI , AI / ML	Java script	10k to 20k 	Hyderabad	6 months 	6 days a week ( 10AM - 7PM)																			
9-Apr-2026	12:36	webaura	Keerthana	No Student Eligble	https://app.hubspot.com/contacts/44403767/record/0-3/58986917534/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=1074171592#gid=1074171592		3	Any		138						Not Hired							SDE	Django 	React.js , Next.js	10k to 20k 	Hyderabad	6 months 	6 days a week ( 10AM - 7PM)																			
9-Apr-2026	2:34	Lexsi Labs	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/58986919541/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=479260831#gid=479260831	https://docs.google.com/spreadsheets/d/1BCNBSZOWnfgZp8frjDJWKVgcVP4wCU_L0zddbLlzPYs/edit?gid=0#gid=0	1	4	5	138						Not Hired							Python Intern 	Python	SQL , AI 	10k	Remote 	3 - 6 months 	5 days a week ( 9AM - 5 PM )																			
9-Apr-2026	3:19	Quick Alert Ai	Keerthana	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/58986359216/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=840386219#gid=840386219	https://docs.google.com/spreadsheets/d/1ql-Up1Z5jdikkjYG7Xv09OMdXg06GSVJW4n5b9_PBek/edit?gid=0#gid=0	2	10	2	138						Not Hired							Full Stack Development	Node.js , React.js , Express.js , MongoDB , Next.js 	Python , Java script	12k to 15k	Mumbai 	6 months 	6 days a week ( 10:30 AM - 7:30PM)																			
9-Apr-2026	5:9	GyanDhan 	Keerthana	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/58986359382/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=705514500#gid=705514500	https://docs.google.com/spreadsheets/d/10Bra2nRVDYPNlP8hO-Wv_oMvBz6tAgdhW6gX3PQNLUY/edit?gid=0#gid=0	5	15	13	138						Not Hired							Software Developer Intern			10k	Remote 	2 months	6 days a week , Regular (9AM - 6PM)																			
10-Apr-2026	12:53	KYBANS INDIA PRIVATE LIMITED 	Keerthana	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/59086972808/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=955371452#gid=955371452	https://docs.google.com/spreadsheets/d/1KNA3skNawnKwrtNADZOe-gALfjqD3QPr1xll1Dttzvk/edit?usp=sharing	3	12	8	138						Hired							SDE Intern	Node.js , SQL 	Java script 	5k	Remote 	2 months	8 am to 1pm and then 5pm to 9pm																			
10-Apr-2026	3:58	 UI Tech Lab	Keerthana	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/58902456447/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=1126643904#gid=1126643904	https://docs.google.com/spreadsheets/d/1bA5cIvC2q2LgrqdkurxlpHFxEolgh2pYAOYhYhFZY4c/edit?gid=0#gid=0	3	9	2	138						Not Hired							SDE Intern	Node.js , React.js , Express.js , MongoDB , java  , python	HTML , CSS	5k to 20k 	Patna	6 months 	"6 days a week ( 10AM - 6PM)
"																			
10-Apr-2026	6:2	Pinified	Keerthana	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/59086293620/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=1886764380#gid=1886764380	https://docs.google.com/spreadsheets/d/1IY5nJ7BGZxacUktL6_bVX6S3hWkzv6-FvbKmgEzEPAI/edit?gid=0#gid=0	2	10	8	138						Not Hired							Full Stack Development	Node.js , React.js , Express.js , MongoDB ,	Python , Java script	5k	Remote 	3 Months	5 days a week ( 11AM - 6PM )																			
